"","Age","Risk.factor","Sex","variable","value"
"10369",0,"Hypertension","Female","ColorectalCancer",1
"10370",15,"Hypertension","Female","ColorectalCancer",1
"10371",20,"Hypertension","Female","ColorectalCancer",1
"10372",25,"Hypertension","Female","ColorectalCancer",1
"10373",30,"Hypertension","Female","ColorectalCancer",1
"10374",35,"Hypertension","Female","ColorectalCancer",1
"10375",40,"Hypertension","Female","ColorectalCancer",1
"10376",45,"Hypertension","Female","ColorectalCancer",1
"10377",50,"Hypertension","Female","ColorectalCancer",1
"10378",55,"Hypertension","Female","ColorectalCancer",1
"10379",60,"Hypertension","Female","ColorectalCancer",1
"10380",65,"Hypertension","Female","ColorectalCancer",1
"10381",70,"Hypertension","Female","ColorectalCancer",1
"10382",75,"Hypertension","Female","ColorectalCancer",1
"10383",80,"Hypertension","Female","ColorectalCancer",1
"10384",85,"Hypertension","Female","ColorectalCancer",1
"10385",0,"Hypertension","Female","HeartDiseases",2.95
"10386",15,"Hypertension","Female","HeartDiseases",2.95
"10387",20,"Hypertension","Female","HeartDiseases",2.95
"10388",25,"Hypertension","Female","HeartDiseases",2.95
"10389",30,"Hypertension","Female","HeartDiseases",2.95
"10390",35,"Hypertension","Female","HeartDiseases",2.95
"10391",40,"Hypertension","Female","HeartDiseases",2.95
"10392",45,"Hypertension","Female","HeartDiseases",2.95
"10393",50,"Hypertension","Female","HeartDiseases",2.95
"10394",55,"Hypertension","Female","HeartDiseases",2.95
"10395",60,"Hypertension","Female","HeartDiseases",2.95
"10396",65,"Hypertension","Female","HeartDiseases",2.95
"10397",70,"Hypertension","Female","HeartDiseases",2.95
"10398",75,"Hypertension","Female","HeartDiseases",2.95
"10399",80,"Hypertension","Female","HeartDiseases",2.95
"10400",85,"Hypertension","Female","HeartDiseases",2.95
"10401",0,"Hypertension","Female","Hypertension",2.2
"10402",15,"Hypertension","Female","Hypertension",2.2
"10403",20,"Hypertension","Female","Hypertension",2.2
"10404",25,"Hypertension","Female","Hypertension",2.2
"10405",30,"Hypertension","Female","Hypertension",2.2
"10406",35,"Hypertension","Female","Hypertension",2.2
"10407",40,"Hypertension","Female","Hypertension",2.2
"10408",45,"Hypertension","Female","Hypertension",2.2
"10409",50,"Hypertension","Female","Hypertension",2.2
"10410",55,"Hypertension","Female","Hypertension",2.2
"10411",60,"Hypertension","Female","Hypertension",2.2
"10412",65,"Hypertension","Female","Hypertension",2.2
"10413",70,"Hypertension","Female","Hypertension",2.2
"10414",75,"Hypertension","Female","Hypertension",2.2
"10415",80,"Hypertension","Female","Hypertension",2.2
"10416",85,"Hypertension","Female","Hypertension",2.2
"10417",0,"Hypertension","Female","InfluenzaPneumonia",1
"10418",15,"Hypertension","Female","InfluenzaPneumonia",1
"10419",20,"Hypertension","Female","InfluenzaPneumonia",1
"10420",25,"Hypertension","Female","InfluenzaPneumonia",1
"10421",30,"Hypertension","Female","InfluenzaPneumonia",1
"10422",35,"Hypertension","Female","InfluenzaPneumonia",1
"10423",40,"Hypertension","Female","InfluenzaPneumonia",1
"10424",45,"Hypertension","Female","InfluenzaPneumonia",1
"10425",50,"Hypertension","Female","InfluenzaPneumonia",1
"10426",55,"Hypertension","Female","InfluenzaPneumonia",1
"10427",60,"Hypertension","Female","InfluenzaPneumonia",1
"10428",65,"Hypertension","Female","InfluenzaPneumonia",1
"10429",70,"Hypertension","Female","InfluenzaPneumonia",1
"10430",75,"Hypertension","Female","InfluenzaPneumonia",1
"10431",80,"Hypertension","Female","InfluenzaPneumonia",1
"10432",85,"Hypertension","Female","InfluenzaPneumonia",1
"10433",0,"Hypertension","Female","LungCancer",1
"10434",15,"Hypertension","Female","LungCancer",1
"10435",20,"Hypertension","Female","LungCancer",1
"10436",25,"Hypertension","Female","LungCancer",1
"10437",30,"Hypertension","Female","LungCancer",1
"10438",35,"Hypertension","Female","LungCancer",1
"10439",40,"Hypertension","Female","LungCancer",1
"10440",45,"Hypertension","Female","LungCancer",1
"10441",50,"Hypertension","Female","LungCancer",1
"10442",55,"Hypertension","Female","LungCancer",1
"10443",60,"Hypertension","Female","LungCancer",1
"10444",65,"Hypertension","Female","LungCancer",1
"10445",70,"Hypertension","Female","LungCancer",1
"10446",75,"Hypertension","Female","LungCancer",1
"10447",80,"Hypertension","Female","LungCancer",1
"10448",85,"Hypertension","Female","LungCancer",1
"10449",0,"Hypertension","Female","MaternalMortality",1
"10450",15,"Hypertension","Female","MaternalMortality",1
"10451",20,"Hypertension","Female","MaternalMortality",1
"10452",25,"Hypertension","Female","MaternalMortality",1
"10453",30,"Hypertension","Female","MaternalMortality",1
"10454",35,"Hypertension","Female","MaternalMortality",1
"10455",40,"Hypertension","Female","MaternalMortality",1
"10456",45,"Hypertension","Female","MaternalMortality",1
"10457",50,"Hypertension","Female","MaternalMortality",1
"10458",55,"Hypertension","Female","MaternalMortality",1
"10459",60,"Hypertension","Female","MaternalMortality",1
"10460",65,"Hypertension","Female","MaternalMortality",1
"10461",70,"Hypertension","Female","MaternalMortality",1
"10462",75,"Hypertension","Female","MaternalMortality",1
"10463",80,"Hypertension","Female","MaternalMortality",1
"10464",85,"Hypertension","Female","MaternalMortality",1
"10465",0,"Hypertension","Female","OtherCancer",1
"10466",15,"Hypertension","Female","OtherCancer",1
"10467",20,"Hypertension","Female","OtherCancer",1
"10468",25,"Hypertension","Female","OtherCancer",1
"10469",30,"Hypertension","Female","OtherCancer",1
"10470",35,"Hypertension","Female","OtherCancer",1
"10471",40,"Hypertension","Female","OtherCancer",1
"10472",45,"Hypertension","Female","OtherCancer",1
"10473",50,"Hypertension","Female","OtherCancer",1
"10474",55,"Hypertension","Female","OtherCancer",1
"10475",60,"Hypertension","Female","OtherCancer",1
"10476",65,"Hypertension","Female","OtherCancer",1
"10477",70,"Hypertension","Female","OtherCancer",1
"10478",75,"Hypertension","Female","OtherCancer",1
"10479",80,"Hypertension","Female","OtherCancer",1
"10480",85,"Hypertension","Female","OtherCancer",1
"10481",0,"Hypertension","Female","Overdose",1
"10482",15,"Hypertension","Female","Overdose",1
"10483",20,"Hypertension","Female","Overdose",1
"10484",25,"Hypertension","Female","Overdose",1
"10485",30,"Hypertension","Female","Overdose",1
"10486",35,"Hypertension","Female","Overdose",1
"10487",40,"Hypertension","Female","Overdose",1
"10488",45,"Hypertension","Female","Overdose",1
"10489",50,"Hypertension","Female","Overdose",1
"10490",55,"Hypertension","Female","Overdose",1
"10491",60,"Hypertension","Female","Overdose",1
"10492",65,"Hypertension","Female","Overdose",1
"10493",70,"Hypertension","Female","Overdose",1
"10494",75,"Hypertension","Female","Overdose",1
"10495",80,"Hypertension","Female","Overdose",1
"10496",85,"Hypertension","Female","Overdose",1
"10497",0,"Hypertension","Female","Parkinsons",1
"10498",15,"Hypertension","Female","Parkinsons",1
"10499",20,"Hypertension","Female","Parkinsons",1
"10500",25,"Hypertension","Female","Parkinsons",1
"10501",30,"Hypertension","Female","Parkinsons",1
"10502",35,"Hypertension","Female","Parkinsons",1
"10503",40,"Hypertension","Female","Parkinsons",1
"10504",45,"Hypertension","Female","Parkinsons",1
"10505",50,"Hypertension","Female","Parkinsons",1
"10506",55,"Hypertension","Female","Parkinsons",1
"10507",60,"Hypertension","Female","Parkinsons",1
"10508",65,"Hypertension","Female","Parkinsons",1
"10509",70,"Hypertension","Female","Parkinsons",1
"10510",75,"Hypertension","Female","Parkinsons",1
"10511",80,"Hypertension","Female","Parkinsons",1
"10512",85,"Hypertension","Female","Parkinsons",1
"10513",0,"Hypertension","Female","ProstateCancer",1
"10514",15,"Hypertension","Female","ProstateCancer",1
"10515",20,"Hypertension","Female","ProstateCancer",1
"10516",25,"Hypertension","Female","ProstateCancer",1
"10517",30,"Hypertension","Female","ProstateCancer",1
"10518",35,"Hypertension","Female","ProstateCancer",1
"10519",40,"Hypertension","Female","ProstateCancer",1
"10520",45,"Hypertension","Female","ProstateCancer",1
"10521",50,"Hypertension","Female","ProstateCancer",1
"10522",55,"Hypertension","Female","ProstateCancer",1
"10523",60,"Hypertension","Female","ProstateCancer",1
"10524",65,"Hypertension","Female","ProstateCancer",1
"10525",70,"Hypertension","Female","ProstateCancer",1
"10526",75,"Hypertension","Female","ProstateCancer",1
"10527",80,"Hypertension","Female","ProstateCancer",1
"10528",85,"Hypertension","Female","ProstateCancer",1
"10529",0,"Hypertension","Female","Suicide",1
"10530",15,"Hypertension","Female","Suicide",1
"10531",20,"Hypertension","Female","Suicide",1
"10532",25,"Hypertension","Female","Suicide",1
"10533",30,"Hypertension","Female","Suicide",1
"10534",35,"Hypertension","Female","Suicide",1
"10535",40,"Hypertension","Female","Suicide",1
"10536",45,"Hypertension","Female","Suicide",1
"10537",50,"Hypertension","Female","Suicide",1
"10538",55,"Hypertension","Female","Suicide",1
"10539",60,"Hypertension","Female","Suicide",1
"10540",65,"Hypertension","Female","Suicide",1
"10541",70,"Hypertension","Female","Suicide",1
"10542",75,"Hypertension","Female","Suicide",1
"10543",80,"Hypertension","Female","Suicide",1
"10544",85,"Hypertension","Female","Suicide",1
"10545",0,"Hypertension","Female","Type2Diabetes",1
"10546",15,"Hypertension","Female","Type2Diabetes",1
"10547",20,"Hypertension","Female","Type2Diabetes",1
"10548",25,"Hypertension","Female","Type2Diabetes",1
"10549",30,"Hypertension","Female","Type2Diabetes",1
"10550",35,"Hypertension","Female","Type2Diabetes",1
"10551",40,"Hypertension","Female","Type2Diabetes",1
"10552",45,"Hypertension","Female","Type2Diabetes",1
"10553",50,"Hypertension","Female","Type2Diabetes",1
"10554",55,"Hypertension","Female","Type2Diabetes",1
"10555",60,"Hypertension","Female","Type2Diabetes",1
"10556",65,"Hypertension","Female","Type2Diabetes",1
"10557",70,"Hypertension","Female","Type2Diabetes",1
"10558",75,"Hypertension","Female","Type2Diabetes",1
"10559",80,"Hypertension","Female","Type2Diabetes",1
"10560",85,"Hypertension","Female","Type2Diabetes",1
"10561",0,"Hypertension","Male","Accident",1
"10562",15,"Hypertension","Male","Accident",1
"10563",20,"Hypertension","Male","Accident",1
"10564",25,"Hypertension","Male","Accident",1
"10565",30,"Hypertension","Male","Accident",1
"10566",35,"Hypertension","Male","Accident",1
"10567",40,"Hypertension","Male","Accident",1
"10568",45,"Hypertension","Male","Accident",1
"10569",50,"Hypertension","Male","Accident",1
"10570",55,"Hypertension","Male","Accident",1
"10571",60,"Hypertension","Male","Accident",1
"10572",65,"Hypertension","Male","Accident",1
"10573",70,"Hypertension","Male","Accident",1
"10574",75,"Hypertension","Male","Accident",1
"10575",80,"Hypertension","Male","Accident",1
"10576",85,"Hypertension","Male","Accident",1
"10577",0,"Hypertension","Male","Alzheimers",1
"10578",15,"Hypertension","Male","Alzheimers",1
"10579",20,"Hypertension","Male","Alzheimers",1
"10580",25,"Hypertension","Male","Alzheimers",1
"10581",30,"Hypertension","Male","Alzheimers",1
"10582",35,"Hypertension","Male","Alzheimers",1
"10583",40,"Hypertension","Male","Alzheimers",1
"10584",45,"Hypertension","Male","Alzheimers",1
"10585",50,"Hypertension","Male","Alzheimers",1
"10586",55,"Hypertension","Male","Alzheimers",1
"10587",60,"Hypertension","Male","Alzheimers",1
"10588",65,"Hypertension","Male","Alzheimers",1
"10589",70,"Hypertension","Male","Alzheimers",1
"10590",75,"Hypertension","Male","Alzheimers",1
"10591",80,"Hypertension","Male","Alzheimers",1
"10592",85,"Hypertension","Male","Alzheimers",1
"10593",0,"Hypertension","Male","Assault",1
"10594",15,"Hypertension","Male","Assault",1
"10595",20,"Hypertension","Male","Assault",1
"10596",25,"Hypertension","Male","Assault",1
"10597",30,"Hypertension","Male","Assault",1
"10598",35,"Hypertension","Male","Assault",1
"10599",40,"Hypertension","Male","Assault",1
"10600",45,"Hypertension","Male","Assault",1
"10601",50,"Hypertension","Male","Assault",1
"10602",55,"Hypertension","Male","Assault",1
"10603",60,"Hypertension","Male","Assault",1
"10604",65,"Hypertension","Male","Assault",1
"10605",70,"Hypertension","Male","Assault",1
"10606",75,"Hypertension","Male","Assault",1
"10607",80,"Hypertension","Male","Assault",1
"10608",85,"Hypertension","Male","Assault",1
"10609",0,"Hypertension","Male","BreastCancer",1
"10610",15,"Hypertension","Male","BreastCancer",1
"10611",20,"Hypertension","Male","BreastCancer",1
"10612",25,"Hypertension","Male","BreastCancer",1
"10613",30,"Hypertension","Male","BreastCancer",1
"10614",35,"Hypertension","Male","BreastCancer",1
"10615",40,"Hypertension","Male","BreastCancer",1
"10616",45,"Hypertension","Male","BreastCancer",1
"10617",50,"Hypertension","Male","BreastCancer",1
"10618",55,"Hypertension","Male","BreastCancer",1
"10619",60,"Hypertension","Male","BreastCancer",1
"10620",65,"Hypertension","Male","BreastCancer",1
"10621",70,"Hypertension","Male","BreastCancer",1
"10622",75,"Hypertension","Male","BreastCancer",1
"10623",80,"Hypertension","Male","BreastCancer",1
"10624",85,"Hypertension","Male","BreastCancer",1
"10625",0,"Hypertension","Male","CerebrovascularDisease",1.44
"10626",15,"Hypertension","Male","CerebrovascularDisease",1.44
"10627",20,"Hypertension","Male","CerebrovascularDisease",1.44
"10628",25,"Hypertension","Male","CerebrovascularDisease",1.44
"10629",30,"Hypertension","Male","CerebrovascularDisease",1.44
"10630",35,"Hypertension","Male","CerebrovascularDisease",1.44
"10631",40,"Hypertension","Male","CerebrovascularDisease",1.44
"10632",45,"Hypertension","Male","CerebrovascularDisease",1.44
"10633",50,"Hypertension","Male","CerebrovascularDisease",1.44
"10634",55,"Hypertension","Male","CerebrovascularDisease",1.44
"10635",60,"Hypertension","Male","CerebrovascularDisease",1.44
"10636",65,"Hypertension","Male","CerebrovascularDisease",1.44
"10637",70,"Hypertension","Male","CerebrovascularDisease",1.44
"10638",75,"Hypertension","Male","CerebrovascularDisease",1.44
"10639",80,"Hypertension","Male","CerebrovascularDisease",1.44
"10640",85,"Hypertension","Male","CerebrovascularDisease",1.44
"10641",0,"Hypertension","Male","CervicalCancer",1
"10642",15,"Hypertension","Male","CervicalCancer",1
"10643",20,"Hypertension","Male","CervicalCancer",1
"10644",25,"Hypertension","Male","CervicalCancer",1
"10645",30,"Hypertension","Male","CervicalCancer",1
"10646",35,"Hypertension","Male","CervicalCancer",1
"10647",40,"Hypertension","Male","CervicalCancer",1
"10648",45,"Hypertension","Male","CervicalCancer",1
"10649",50,"Hypertension","Male","CervicalCancer",1
"10650",55,"Hypertension","Male","CervicalCancer",1
"10651",60,"Hypertension","Male","CervicalCancer",1
"10652",65,"Hypertension","Male","CervicalCancer",1
"10653",70,"Hypertension","Male","CervicalCancer",1
"10654",75,"Hypertension","Male","CervicalCancer",1
"10655",80,"Hypertension","Male","CervicalCancer",1
"10656",85,"Hypertension","Male","CervicalCancer",1
"10657",0,"Hypertension","Male","ChronicLiverDisease",1
"10658",15,"Hypertension","Male","ChronicLiverDisease",1
"10659",20,"Hypertension","Male","ChronicLiverDisease",1
"10660",25,"Hypertension","Male","ChronicLiverDisease",1
"10661",30,"Hypertension","Male","ChronicLiverDisease",1
"10662",35,"Hypertension","Male","ChronicLiverDisease",1
"10663",40,"Hypertension","Male","ChronicLiverDisease",1
"10664",45,"Hypertension","Male","ChronicLiverDisease",1
"10665",50,"Hypertension","Male","ChronicLiverDisease",1
"10666",55,"Hypertension","Male","ChronicLiverDisease",1
"10667",60,"Hypertension","Male","ChronicLiverDisease",1
"10668",65,"Hypertension","Male","ChronicLiverDisease",1
"10669",70,"Hypertension","Male","ChronicLiverDisease",1
"10670",75,"Hypertension","Male","ChronicLiverDisease",1
"10671",80,"Hypertension","Male","ChronicLiverDisease",1
"10672",85,"Hypertension","Male","ChronicLiverDisease",1
"10673",0,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10674",15,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10675",20,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10676",25,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10677",30,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10678",35,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10679",40,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10680",45,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10681",50,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10682",55,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10683",60,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10684",65,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10685",70,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10686",75,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10687",80,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10688",85,"Hypertension","Male","ChronicLowerRespiratoryDisease",1
"10689",0,"Hypertension","Male","ColorectalCancer",1
"10690",15,"Hypertension","Male","ColorectalCancer",1
"10691",20,"Hypertension","Male","ColorectalCancer",1
"10692",25,"Hypertension","Male","ColorectalCancer",1
"10693",30,"Hypertension","Male","ColorectalCancer",1
"10694",35,"Hypertension","Male","ColorectalCancer",1
"10695",40,"Hypertension","Male","ColorectalCancer",1
"10696",45,"Hypertension","Male","ColorectalCancer",1
"10697",50,"Hypertension","Male","ColorectalCancer",1
"10698",55,"Hypertension","Male","ColorectalCancer",1
"10699",60,"Hypertension","Male","ColorectalCancer",1
"10700",65,"Hypertension","Male","ColorectalCancer",1
"10701",70,"Hypertension","Male","ColorectalCancer",1
"10702",75,"Hypertension","Male","ColorectalCancer",1
"10703",80,"Hypertension","Male","ColorectalCancer",1
"10704",85,"Hypertension","Male","ColorectalCancer",1
"10705",0,"Hypertension","Male","HeartDiseases",2.32
"10706",15,"Hypertension","Male","HeartDiseases",2.32
"10707",20,"Hypertension","Male","HeartDiseases",2.32
"10708",25,"Hypertension","Male","HeartDiseases",2.32
"10709",30,"Hypertension","Male","HeartDiseases",2.32
"10710",35,"Hypertension","Male","HeartDiseases",2.32
"10711",40,"Hypertension","Male","HeartDiseases",2.32
"10712",45,"Hypertension","Male","HeartDiseases",2.32
"10713",50,"Hypertension","Male","HeartDiseases",2.32
"10714",55,"Hypertension","Male","HeartDiseases",2.32
"10715",60,"Hypertension","Male","HeartDiseases",2.32
"10716",65,"Hypertension","Male","HeartDiseases",2.32
"10717",70,"Hypertension","Male","HeartDiseases",2.32
"10718",75,"Hypertension","Male","HeartDiseases",2.32
"10719",80,"Hypertension","Male","HeartDiseases",2.32
"10720",85,"Hypertension","Male","HeartDiseases",2.32
"10721",0,"Hypertension","Male","Hypertension",2.2
"10722",15,"Hypertension","Male","Hypertension",2.2
"10723",20,"Hypertension","Male","Hypertension",2.2
"10724",25,"Hypertension","Male","Hypertension",2.2
"10725",30,"Hypertension","Male","Hypertension",2.2
"10726",35,"Hypertension","Male","Hypertension",2.2
"10727",40,"Hypertension","Male","Hypertension",2.2
"10728",45,"Hypertension","Male","Hypertension",2.2
"10729",50,"Hypertension","Male","Hypertension",2.2
"10730",55,"Hypertension","Male","Hypertension",2.2
"10731",60,"Hypertension","Male","Hypertension",2.2
"10732",65,"Hypertension","Male","Hypertension",2.2
"10733",70,"Hypertension","Male","Hypertension",2.2
"10734",75,"Hypertension","Male","Hypertension",2.2
"10735",80,"Hypertension","Male","Hypertension",2.2
"10736",85,"Hypertension","Male","Hypertension",2.2
"10737",0,"Hypertension","Male","InfluenzaPneumonia",1
"10738",15,"Hypertension","Male","InfluenzaPneumonia",1
"10739",20,"Hypertension","Male","InfluenzaPneumonia",1
"10740",25,"Hypertension","Male","InfluenzaPneumonia",1
"10741",30,"Hypertension","Male","InfluenzaPneumonia",1
"10742",35,"Hypertension","Male","InfluenzaPneumonia",1
"10743",40,"Hypertension","Male","InfluenzaPneumonia",1
"10744",45,"Hypertension","Male","InfluenzaPneumonia",1
"10745",50,"Hypertension","Male","InfluenzaPneumonia",1
"10746",55,"Hypertension","Male","InfluenzaPneumonia",1
"10747",60,"Hypertension","Male","InfluenzaPneumonia",1
"10748",65,"Hypertension","Male","InfluenzaPneumonia",1
"10749",70,"Hypertension","Male","InfluenzaPneumonia",1
"10750",75,"Hypertension","Male","InfluenzaPneumonia",1
"10751",80,"Hypertension","Male","InfluenzaPneumonia",1
"10752",85,"Hypertension","Male","InfluenzaPneumonia",1
"10753",0,"Hypertension","Male","LungCancer",1
"10754",15,"Hypertension","Male","LungCancer",1
"10755",20,"Hypertension","Male","LungCancer",1
"10756",25,"Hypertension","Male","LungCancer",1
"10757",30,"Hypertension","Male","LungCancer",1
"10758",35,"Hypertension","Male","LungCancer",1
"10759",40,"Hypertension","Male","LungCancer",1
"10760",45,"Hypertension","Male","LungCancer",1
"10761",50,"Hypertension","Male","LungCancer",1
"10762",55,"Hypertension","Male","LungCancer",1
"10763",60,"Hypertension","Male","LungCancer",1
"10764",65,"Hypertension","Male","LungCancer",1
"10765",70,"Hypertension","Male","LungCancer",1
"10766",75,"Hypertension","Male","LungCancer",1
"10767",80,"Hypertension","Male","LungCancer",1
"10768",85,"Hypertension","Male","LungCancer",1
"10769",0,"Hypertension","Male","MaternalMortality",1
"10770",15,"Hypertension","Male","MaternalMortality",1
"10771",20,"Hypertension","Male","MaternalMortality",1
"10772",25,"Hypertension","Male","MaternalMortality",1
"10773",30,"Hypertension","Male","MaternalMortality",1
"10774",35,"Hypertension","Male","MaternalMortality",1
"10775",40,"Hypertension","Male","MaternalMortality",1
"10776",45,"Hypertension","Male","MaternalMortality",1
"10777",50,"Hypertension","Male","MaternalMortality",1
"10778",55,"Hypertension","Male","MaternalMortality",1
"10779",60,"Hypertension","Male","MaternalMortality",1
"10780",65,"Hypertension","Male","MaternalMortality",1
"10781",70,"Hypertension","Male","MaternalMortality",1
"10782",75,"Hypertension","Male","MaternalMortality",1
"10783",80,"Hypertension","Male","MaternalMortality",1
"10784",85,"Hypertension","Male","MaternalMortality",1
"10785",0,"Hypertension","Male","OtherCancer",1
"10786",15,"Hypertension","Male","OtherCancer",1
"10787",20,"Hypertension","Male","OtherCancer",1
"10788",25,"Hypertension","Male","OtherCancer",1
"10789",30,"Hypertension","Male","OtherCancer",1
"10790",35,"Hypertension","Male","OtherCancer",1
"10791",40,"Hypertension","Male","OtherCancer",1
"10792",45,"Hypertension","Male","OtherCancer",1
"10793",50,"Hypertension","Male","OtherCancer",1
"10794",55,"Hypertension","Male","OtherCancer",1
"10795",60,"Hypertension","Male","OtherCancer",1
"10796",65,"Hypertension","Male","OtherCancer",1
"10797",70,"Hypertension","Male","OtherCancer",1
"10798",75,"Hypertension","Male","OtherCancer",1
"10799",80,"Hypertension","Male","OtherCancer",1
"10800",85,"Hypertension","Male","OtherCancer",1
"10801",0,"Hypertension","Male","Overdose",1
"10802",15,"Hypertension","Male","Overdose",1
"10803",20,"Hypertension","Male","Overdose",1
"10804",25,"Hypertension","Male","Overdose",1
"10805",30,"Hypertension","Male","Overdose",1
"10806",35,"Hypertension","Male","Overdose",1
"10807",40,"Hypertension","Male","Overdose",1
"10808",45,"Hypertension","Male","Overdose",1
"10809",50,"Hypertension","Male","Overdose",1
"10810",55,"Hypertension","Male","Overdose",1
"10811",60,"Hypertension","Male","Overdose",1
"10812",65,"Hypertension","Male","Overdose",1
"10813",70,"Hypertension","Male","Overdose",1
"10814",75,"Hypertension","Male","Overdose",1
"10815",80,"Hypertension","Male","Overdose",1
"10816",85,"Hypertension","Male","Overdose",1
"10817",0,"Hypertension","Male","Parkinsons",1
"10818",15,"Hypertension","Male","Parkinsons",1
"10819",20,"Hypertension","Male","Parkinsons",1
"10820",25,"Hypertension","Male","Parkinsons",1
"10821",30,"Hypertension","Male","Parkinsons",1
"10822",35,"Hypertension","Male","Parkinsons",1
"10823",40,"Hypertension","Male","Parkinsons",1
"10824",45,"Hypertension","Male","Parkinsons",1
"10825",50,"Hypertension","Male","Parkinsons",1
"10826",55,"Hypertension","Male","Parkinsons",1
"10827",60,"Hypertension","Male","Parkinsons",1
"10828",65,"Hypertension","Male","Parkinsons",1
"10829",70,"Hypertension","Male","Parkinsons",1
"10830",75,"Hypertension","Male","Parkinsons",1
"10831",80,"Hypertension","Male","Parkinsons",1
"10832",85,"Hypertension","Male","Parkinsons",1
"10833",0,"Hypertension","Male","ProstateCancer",1
"10834",15,"Hypertension","Male","ProstateCancer",1
"10835",20,"Hypertension","Male","ProstateCancer",1
"10836",25,"Hypertension","Male","ProstateCancer",1
"10837",30,"Hypertension","Male","ProstateCancer",1
"10838",35,"Hypertension","Male","ProstateCancer",1
"10839",40,"Hypertension","Male","ProstateCancer",1
"10840",45,"Hypertension","Male","ProstateCancer",1
"10841",50,"Hypertension","Male","ProstateCancer",1
"10842",55,"Hypertension","Male","ProstateCancer",1
"10843",60,"Hypertension","Male","ProstateCancer",1
"10844",65,"Hypertension","Male","ProstateCancer",1
"10845",70,"Hypertension","Male","ProstateCancer",1
"10846",75,"Hypertension","Male","ProstateCancer",1
"10847",80,"Hypertension","Male","ProstateCancer",1
"10848",85,"Hypertension","Male","ProstateCancer",1
"10849",0,"Hypertension","Male","Suicide",1
"10850",15,"Hypertension","Male","Suicide",1
"10851",20,"Hypertension","Male","Suicide",1
"10852",25,"Hypertension","Male","Suicide",1
"10853",30,"Hypertension","Male","Suicide",1
"10854",35,"Hypertension","Male","Suicide",1
"10855",40,"Hypertension","Male","Suicide",1
"10856",45,"Hypertension","Male","Suicide",1
"10857",50,"Hypertension","Male","Suicide",1
"10858",55,"Hypertension","Male","Suicide",1
"10859",60,"Hypertension","Male","Suicide",1
"10860",65,"Hypertension","Male","Suicide",1
"10861",70,"Hypertension","Male","Suicide",1
"10862",75,"Hypertension","Male","Suicide",1
"10863",80,"Hypertension","Male","Suicide",1
"10864",85,"Hypertension","Male","Suicide",1
"10865",0,"Hypertension","Male","Type2Diabetes",1
"10866",15,"Hypertension","Male","Type2Diabetes",1
"10867",20,"Hypertension","Male","Type2Diabetes",1
"10868",25,"Hypertension","Male","Type2Diabetes",1
"10869",30,"Hypertension","Male","Type2Diabetes",1
"10870",35,"Hypertension","Male","Type2Diabetes",1
"10871",40,"Hypertension","Male","Type2Diabetes",1
"10872",45,"Hypertension","Male","Type2Diabetes",1
"10873",50,"Hypertension","Male","Type2Diabetes",1
"10874",55,"Hypertension","Male","Type2Diabetes",1
"10875",60,"Hypertension","Male","Type2Diabetes",1
"10876",65,"Hypertension","Male","Type2Diabetes",1
"10877",70,"Hypertension","Male","Type2Diabetes",1
"10878",75,"Hypertension","Male","Type2Diabetes",1
"10879",80,"Hypertension","Male","Type2Diabetes",1
"10880",85,"Hypertension","Male","Type2Diabetes",1
"10881",0,"Immunocompromised","Female","Accident",1
"10882",15,"Immunocompromised","Female","Accident",1
"10883",20,"Immunocompromised","Female","Accident",1
"10884",25,"Immunocompromised","Female","Accident",1
"10885",30,"Immunocompromised","Female","Accident",1
"10886",35,"Immunocompromised","Female","Accident",1
"10887",40,"Immunocompromised","Female","Accident",1
"10888",45,"Immunocompromised","Female","Accident",1
"10889",50,"Immunocompromised","Female","Accident",1
"10890",55,"Immunocompromised","Female","Accident",1
"10891",60,"Immunocompromised","Female","Accident",1
"10892",65,"Immunocompromised","Female","Accident",1
"10893",70,"Immunocompromised","Female","Accident",1
"10894",75,"Immunocompromised","Female","Accident",1
"10895",80,"Immunocompromised","Female","Accident",1
"10896",85,"Immunocompromised","Female","Accident",1
"10897",0,"Immunocompromised","Female","Alzheimers",1
"10898",15,"Immunocompromised","Female","Alzheimers",1
"10899",20,"Immunocompromised","Female","Alzheimers",1
"10900",25,"Immunocompromised","Female","Alzheimers",1
"10901",30,"Immunocompromised","Female","Alzheimers",1
"10902",35,"Immunocompromised","Female","Alzheimers",1
"10903",40,"Immunocompromised","Female","Alzheimers",1
"10904",45,"Immunocompromised","Female","Alzheimers",1
